,Params,Temps (min),Age MAE,Age MSE,Age R2,Genre Accuracy,Genre AUC,Genre AP,Genre ARI,Genre NMI,Eth Accuracy,Eth AUC,Eth AP,Eth ARI,Eth NMI
MobileNetV2,6698984.0,12.5,7.585161209106445,116.8519058227539,0.6990363597869873,0.8498312710911136,0.932054729327781,0.9253673196520544,0.48936923572798535,0.390087479812062,0.5573678290213723,0.8314196595431594,0.667732421356834,0.23959050917242614,0.22917048809880833
EfficientNetB0,8490571.0,15.3,6.190943717956543,82.38447570800781,0.7878106236457825,0.9012935883014623,0.9644582986317669,0.9590829642568773,0.6440425376274577,0.5343420675867311,0.6827896512935883,0.8999287721389573,0.7941812797107753,0.4071830692089166,0.3751466244798699
ResNet50,30685992.0,33.3,5.874445915222168,72.85911560058594,0.8123441338539124,0.8990438695163104,0.965361887765219,0.9589602362238048,0.636840492784301,0.527634746913213,0.6690101237345332,0.9024264364568226,0.804455133460002,0.39802637021067416,0.3867640299144938
MobileNetV3Large,6330152.0,11.4,7.111997127532959,112.5409927368164,0.7101395130157471,0.8849831271091113,0.9531980170533412,0.9383080719381204,0.5927324766656624,0.4850817087580937,0.6780089988751407,0.8920172115232677,0.775958657028386,0.39201969532636477,0.3556385482917821
